Procedure Summary																																																												
																																																												
Plate Type	54 with lid																																																											
Set Temperature	Temperature:  Setpoint 37 C																																																											
Start Kinetic	"Start Kinetic [Run 0:45:00, Interval 0:05:00]"																																																											
Shake	Shake: Medium for 0:10																																																											
Read	Read:  (A) 590																																																											
Read	"Read:  (F) 485/20,528/20"																																																											
End Kinetic	End Kinetic																																																											
																																																												
Layout																																																												
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18																																										
A	SPL1	SPL17	SPL33	SPL49	SPL65	SPL81	SPL97	SPL113	SPL129	SPL145	SPL161	SPL177	SPL193	SPL209	SPL225	SPL241	SPL257	SPL273	Well ID																																									
																			Name																																									
B	SPL2	SPL18	SPL34	SPL50	SPL66	SPL82	SPL98	SPL114	SPL130	SPL146	SPL162	SPL178	SPL194	SPL210	SPL226	SPL242	SPL258	SPL274	Well ID																																									
																			Name																																									
C	SPL3	SPL19	SPL35	SPL51	SPL67	SPL83	SPL99	SPL115	SPL131	SPL147	SPL163	SPL179	SPL195	SPL211	SPL227	SPL243	SPL259	SPL275	Well ID																																									
																			Name																																									
																																																												
																																																												
Read 1:590																																																												
																																																												
Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
0:00:00	0.000	0.010	0.020	0.030	0.010	0.020	0.030	0.010	0.020	0.030	0.010	0.020	0.030	0.010	0.020	0.030	0.010	0.020	0.030	0.000	0.000	0.111	0.125	0.140	0.119	0.126	0.138	0.119	0.121	0.140	0.114	0.127	0.133	0.116	0.128	0.131	0.116	0.125	0.138	0.000	0.000	0.216	0.229	0.243	0.226	0.226	0.248	0.224	0.226	0.248	0.222	0.235	0.238	0.220	0.234	0.234	0.219	0.228	0.247	0.000
