0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-0.01,-0.00033333,0.011,0.014333,0.022667,0.03,0.044667,0.056,0.066333,0.074333
0,0.016667,0.027,0.032333,0.039667,0.049,0.064667,0.074,0.086333,0.097333
0.01,0.018667,0.033,0.044333,0.053667,0.063,0.076667,0.089,0.10233,0.11033
-0.01,0.0066667,0.014,0.022333,0.029667,0.034,0.043667,0.049,0.061333,0.072333
0,0.0076667,0.021,0.025333,0.035667,0.042,0.049667,0.059,0.070333,0.079333
0.01,0.022667,0.031,0.038333,0.042667,0.052,0.065667,0.074,0.085333,0.098333
-0.01,0.0066667,0.019,0.025333,0.037667,0.045,0.057667,0.064,0.069333,0.075333
0,0.012667,0.019,0.031333,0.039667,0.046,0.052667,0.066,0.071333,0.081333
0.01,0.026667,0.037,0.047333,0.060667,0.063,0.074667,0.088,0.097333,0.10633
-0.01,-0.00033333,0.006,0.015333,0.020667,0.022,0.037667,0.045,0.049333,0.056333
0,0.011667,0.019,0.022333,0.035667,0.041,0.048667,0.053,0.062333,0.069333
0.01,0.020667,0.026,0.036333,0.040667,0.047,0.061667,0.067,0.074333,0.080333
-0.01,0.0056667,0.02,0.030333,0.037667,0.044,0.058667,0.072,0.083333,0.094333
0,0.013667,0.02,0.031333,0.035667,0.044,0.060667,0.068,0.077333,0.087333
0.01,0.013667,0.022,0.026333,0.036667,0.042,0.054667,0.065,0.077333,0.082333
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.018,0.026,0.043,0.053,0.073,0.081,0.098,0.116,0.133,0.151
0.027,0.041,0.059,0.069,0.085,0.105,0.124,0.138,0.154,0.175
0.032,0.049,0.069,0.084,0.099,0.119,0.131,0.157,0.172,0.183
0.014,0.034,0.047,0.061,0.076,0.091,0.106,0.115,0.135,0.149
0.023,0.036,0.054,0.067,0.085,0.102,0.11,0.123,0.138,0.156
0.04,0.05,0.068,0.079,0.091,0.105,0.119,0.138,0.152,0.174
0.016,0.037,0.055,0.062,0.087,0.105,0.112,0.126,0.136,0.147
0.024,0.041,0.052,0.072,0.083,0.101,0.113,0.126,0.142,0.156
0.031,0.054,0.065,0.091,0.104,0.122,0.134,0.149,0.171,0.186
0.016,0.023,0.034,0.06,0.068,0.077,0.098,0.109,0.117,0.129
0.026,0.038,0.051,0.064,0.083,0.095,0.103,0.119,0.128,0.15
0.037,0.045,0.061,0.078,0.083,0.102,0.124,0.131,0.142,0.152
0.019,0.033,0.053,0.073,0.08,0.101,0.114,0.135,0.15,0.174
0.028,0.04,0.051,0.068,0.079,0.103,0.123,0.134,0.15,0.165
0.034,0.043,0.052,0.068,0.085,0.096,0.114,0.134,0.143,0.158
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.127,0.132,0.153,0.163,0.181,0.187,0.198,0.225,0.234,0.26
