100,148,232,332,336,348,382,397,456,473
1000,1075,1141,1186,1259,1294,1315,1377,1455,1487
2000,2087,2109,2164,2260,2353,2359,2420,2450,2544
3000,3028,3124,3129,3149,3187,3235,3302,3307,3366
11000,12065,13077,14087,15183,16248,17340,18385,19432,20472
12000,13057,14078,15079,16144,17198,18231,19236,20247,21339
13000,14039,15135,16191,17237,18248,19260,20299,21390,22428
11000,12028,13115,14213,15238,16271,17357,18402,19488,20499
12000,13001,14022,15078,16155,17190,18263,19295,20368,21448
13000,14093,15100,16132,17163,18200,19222,20240,21273,22286
11000,12068,13144,14155,15199,16241,17296,18367,19428,20467
12000,13020,14102,15193,16244,17300,18310,19370,20404,21412
13000,14070,15161,16224,17257,18311,19329,20378,21453,22541
1000,1022,1098,1164,1184,1254,1350,1419,1419,1484
2000,2073,2100,2146,2237,2293,2319,2325,2415,2457
3000,3035,3077,3081,3137,3190,3256,3279,3291,3294
11000,12016,13116,14211,15303,16353,17445,18476,19535,20550
12000,13039,14092,15136,16165,17180,18242,19340,20384,21421
13000,14027,15096,16159,17201,18239,19296,20328,21379,22444
100,133,147,231,237,319,328,367,375,404
100,189,263,286,322,327,366,437,502,539
3083,3146,3198,3236,3262,3307,3414,3450,3508,3570
4022,4151,4178,4165,4359,4442,4442,4431,4454,4572
5017,5102,5180,5167,5173,5280,5320,5328,5308,5383
13007,14160,15160,16125,17261,18332,19437,20451,21470,22535
14030,15102,16136,17141,18217,19291,20267,21251,22319,23421
15049,16081,17179,18234,19307,20296,21300,22395,23479,24434
13045,14084,15179,16290,17244,18369,19410,20473,21539,22522
14038,15037,16103,17102,18163,19204,20328,21352,22405,23530
15100,16125,17184,18182,19233,20209,21313,22280,23344,24344
13025,14102,15155,16198,17260,18244,19366,20464,21455,22544
14040,15111,16164,17225,18335,19323,20341,21411,22417,23487
15026,16100,17183,18238,19258,20380,21423,22437,23457,24594
3077,3117,3186,3183,3272,3347,3351,3453,3489,3520
4097,4097,4103,4237,4291,4386,4368,4356,4491,4511
5052,5126,5104,5151,5140,5260,5322,5368,5376,5351
13048,14033,15165,16275,17311,18357,19460,20532,21564,22630
14017,15121,16170,17182,18195,19235,20287,21422,22444,23502
15021,16041,17147,18237,19218,20335,21301,22411,23422,24467
100,161,175,242,256,318,321,407,420,507
100,177,196,199,284,339,379,446,482,501
5089,5171,5288,5250,5342,5393,5434,5460,5549,5581
6077,6183,6275,6222,6457,6536,6482,6451,6504,6623
7104,7158,7241,7195,7246,7377,7377,7348,7357,7416
15011,16254,17197,18192,19325,20346,21450,22482,23521,24559
16086,17103,18137,19228,20261,21383,22299,23253,24337,25479
17137,18124,19265,20317,21394,22366,23353,24476,25541,26520
15069,16106,17251,18299,19308,20417,21433,22557,23592,24546
16129,17124,18132,19124,20181,21269,22425,23407,24423,25574
17125,18184,19197,20190,21325,22245,23387,24319,25439,26377
15124,16131,17229,18200,19317,20277,21428,22489,23528,24602
16090,17148,18246,19274,20369,21415,22399,23481,24462,25502
17113,18173,19232,20305,21354,22406,23467,24485,25488,26653
5134,5208,5215,5242,5288,5396,5439,5545,5494,5605
